customer_id,fname,sname,ssn,address_id
185505383,Ava,White,549728806,813917053
162371172,Erin,Long,955394984,925891398
105078838,Kevin,Ramirez,432366182,769546870
33554342,Olivia,Alexander,970431103,918763597
47059435,Patrick,Richardson,445057274,621264954
385671291,Daniel,Alexander,899926495,793287203
53288385,Charlotte,Cooper,615248624,498590820
268234155,Brittany,Thomas,465141461,916993800
283209098,Evelyn,Harris,390973389,741508358
266869825,Aiden,King,84493174,646026625
191779985,Theodore,Lee,875932621,278796883
188762853,Sara,Rivera,920049000,347008447
61399084,Mateo,Hughes,214909780,663128867
82516191,Alexandra,Murphy,936067054,868248555
89344206,Anna,Butler,570522190,985136981
381516159,Timothy,Gray,249289524,125863569
201999407,Jasmine,Russell,421630129,523719016
253220837,Victoria,Price,902534351,846221480
201036464,Olivia,Henderson,147879700,644893209
364844006,Austin,Sanders,486786044,981737993
166393192,Patrick,Phillips,127672999,645044125
47579896,David,Flores,538213277,432426794
212084341,Steven,Wright,109422988,208825744
168728718,Lillian,Parker,886869752,682271199
354554270,Daniel,Rogers,694530219,614954588
329745918,Brianna,Mitchell,552879395,146016438
420242802,Courtney,Perez,7041162,913186330
302530614,Eric,Miller,279804209,450054602
356490247,Aaron,Edwards,572212067,839559978
328281194,Joshua,Thompson,54522579,513923848
292633147,Aubrey,Scott,696259206,367946147
89032461,David,Walker,584899777,317481172
173908548,Sarah,Bryant,247702837,209034431
61497154,Claire,Jackson,114420506,446561387
292021279,Christina,Cox,897399627,154253034
84176512,Benjamin,Mitchell,343911324,320000112
404864190,Jonathan,Harris,105708212,343272830
319818368,Oliver,Ward,553869308,207884107
385912516,Eric,Foster,680958313,210078934
130931185,Gabriel,Walker,573496996,848903608
55351750,Kayla,Parker,943023889,156518253
209822112,Victoria,Bennett,782134858,493549887
126589510,Timothy,Parker,456650940,195031302
111917764,Jose,Jones,175971269,480956691
147487013,Sara,Griffin,607038031,672481819
223913442,Emily,Bennett,541285417,269355957
246892591,Joshua,Clark,572441663,462684687
109286675,Abigail,Henderson,959735964,561337472
22462778,Steven,Coleman,596546332,195114074
242676234,Rebecca,Watson,345688329,790102904
331769294,Jennifer,Thomas,348644579,151458877
107145975,Jessica,Bell,978093217,440555850
236283084,Nicole,Bailey,132795599,640601978
13511434,Stephen,Roberts,928584608,927170651
352297269,Zachary,Gray,293022875,464113866
230727730,Jason,Lopez,906492466,800436489
243419733,Taylor,Hernandez,773861694,169310926
99634243,Dylan,Anderson,886854279,128640211
374004995,Julian,Campbell,111943041,293109855
83719718,Joshua,Bailey,88766793,481153847
73268494,James,Cook,497571914,587948265
297448720,Abigail,Torres,482351890,377119678
347120908,Amanda,Jones,784289287,767103993
198035029,Sean,Sanders,53463410,280253962
146213487,Jasmine,Allen,997716298,146695595
269281272,Sebastian,Wright,859282025,504182528
22321719,Erin,Lewis,210792347,763716583
227656546,Victoria,James,470096931,759172237
168679547,Eric,Jones,127296082,181542661
191464045,Erin,Brown,434281216,659452068
345638512,Brittany,Morgan,808113080,125944919
347111144,Aiden,Peterson,138248786,107293030
286467332,Kimberly,Bryant,93008514,593700231
22539385,Alexander,Wilson,857082898,624457713
353935270,Natalie,Baker,327780781,848360295
232308442,Samantha,Green,263043593,258032139
83146678,Maria,Lopez,48569328,721955880
1429321,Brian,Peterson,799031540,865619481
415349069,Stephanie,King,562903692,853623164
401801886,Stephanie,White,528961453,425675782
4448066,Emma,Morgan,994577251,874339428
170098949,Joshua,Kelly,128640913,291631403
10398862,Brandon,Lewis,11423893,721008498
250376367,Samuel,Lopez,763528064,413589381
170807634,Mark,Jenkins,939098915,614567980
187457113,Michelle,Jenkins,617290057,791907857
242432930,Kevin,Ward,87950704,975635232
358405349,Jason,Lopez,561199679,476348387
87869531,Jason,Barnes,483683417,234208769
12867779,Heather,Patterson,944000166,432536462
280929717,Sofia,Gonzales,669552250,850766769
141029216,Haley,James,16770851,177936777
55899001,Victoria,Rivera,410962102,781670880
354318471,Samuel,Adams,626482187,801228923
266816632,Emily,Sanders,449789331,109926078
10989525,Joseph,Wright,842471770,279562207
144014347,Alexander,Rodriguez,785640041,747211521
140104199,Alexander,Patterson,203434957,979658331
88697424,Kimberly,Barnes,40477421,334028001
53379671,Aiden,Jackson,194107520,393725887
64389112,Rachel,Flores,217565245,383109722
250966976,Isaac,Powell,797820656,245304053
285477577,Elizabeth,Walker,331455676,875521635
276143258,Eleanor,Brown,586804104,453282920
264562279,Abigail,Brooks,20032786,387575164
